PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Standard Type,Standard Relation,Standard Value,Standard Units
,,,STRING,STRING,FLOAT,STRING
,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
103401109,441074,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,F,=,75,%
103411274,643985,CCC(=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,F,=,92,%
103412836,22267,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,F,=,92,%
103431670,6437872,CNC/C=C(\C1=CC=C(C=C1)Br)/C2=CN=CC=C2,F,=,66,%
103455384,5281004,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,F,=,11,%
103459354,92337,C[C@H](C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,F,=,92,%
103459355,72099,C[C@@H](C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,F,=,92,%
103459707,39912,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,F,=,80,%
103459872,114864,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,F,=,80,%
103460096,180540,C[C@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,F,=,85,%
103463308,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,F,=,86,%
103469384,13109,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,F,=,87,%
103469419,5833,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,F,=,25,%
103478231,2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,F,=,84,%
103503415,16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,F,=,50,%
103503975,3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,F,=,14,%
103504457,4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,F,=,13,%
103510607,54671203,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,F,=,93,%
103510684,33255,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,F,=,90,%
103510783,21319,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,F,=,49,%
103510845,3080827,CC1=C(C(=CC=C1)C)NC(=O)[C@H](C)N,F,=,89,%
103510846,3080825,CC1=C(C(=CC=C1)C)NC(=O)[C@@H](C)N,F,=,89,%
103512866,54675776,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,F,=,77,%
